UAV數量,OBLAP平均,OBLAP標準差,TSP平均,TSP標準差,平均改善率,OBLAP勝率,測試數
8,31.00,3.14,37.78,1.71,+17.59%,93.3%,15
9,29.87,2.56,36.51,1.88,+17.84%,100.0%,15
10,29.67,2.74,34.00,2.30,+12.25%,73.3%,15
11,29.27,2.43,32.73,2.18,+10.40%,80.0%,15
12,28.40,2.75,30.40,1.39,+6.41%,73.3%,15
13,28.60,2.64,30.92,2.83,+6.40%,60.0%,15
14,28.33,3.02,30.37,2.31,+6.25%,73.3%,15
15,28.40,2.61,28.37,1.54,-0.36%,53.3%,15
16,28.53,2.75,28.73,2.06,+0.05%,53.3%,15
