uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
5,3,OBLAP,21,21,20,33,34,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed3.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed3.png,success
5,3,TSP,,,,,,,51.5,213.49,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed3.png,success
5,4,OBLAP,25,33,32,43,44,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed4.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed4.png,success
5,4,TSP,,,,,,,47.5,203.13,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed4.png,success
5,5,OBLAP,25,29,28,38,39,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed5.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed5.png,success
5,5,TSP,,,,,,,48.7,198.52,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed5.png,success
5,6,OBLAP,15,15,14,23,24,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed6.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed6.png,success
5,6,TSP,,,,,,,50.5,205.02,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed6.png,success
5,7,OBLAP,25,26,25,38,39,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed7.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed7.png,success
5,7,TSP,,,,,,,49.5,194.3,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed7.png,success
5,8,OBLAP,25,25,24,37,38,3,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed8.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed8.png,success
5,8,TSP,,,,,,,48.5,202.63,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed8.png,success
5,9,OBLAP,22,22,21,29,30,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed9.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed9.png,success
5,9,TSP,,,,,,,46.8,200.42,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed9.png,success
5,10,OBLAP,25,33,36,45,46,4,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed10.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed10.png,success
5,10,TSP,,,,,,,47.5,200.14,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed10.png,success
5,11,OBLAP,25,33,35,44,45,5,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed11.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed11.png,success
5,11,TSP,,,,,,,45.7,194.46,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed11.png,success
5,12,OBLAP,25,33,32,43,44,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed12.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed12.png,success
5,12,TSP,,,,,,,46.5,199.24,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed12.png,success
5,13,OBLAP,25,31,30,37,38,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed13.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed13.png,success
5,13,TSP,,,,,,,50.9,207.31,,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed13.png,success
5,14,OBLAP,23,23,22,34,35,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV5_Seed14.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV5_Seed14.png,success
