uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
8,1,OBLAP,20,20,19,29,30,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed1.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed1.png,success
8,1,TSP,,,,,,,35.4,222.64,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed1.png,success
8,2,OBLAP,20,20,19,29,30,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed2.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed2.png,success
8,2,TSP,,,,,,,36.7,231.13,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed2.png,success
8,3,OBLAP,18,18,17,29,30,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed3.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed3.png,success
8,3,TSP,,,,,,,39.4,243.12,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed3.png,success
8,4,OBLAP,24,24,26,37,38,4,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed4.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed4.png,success
8,4,TSP,,,,,,,35.8,225.99,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed4.png,success
8,5,OBLAP,23,23,22,34,35,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed5.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed5.png,success
8,5,TSP,,,,,,,38.6,235.48,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed5.png,success
8,6,OBLAP,14,14,13,25,26,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed6.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed6.png,success
8,6,TSP,,,,,,,41.4,241.31,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed6.png,success
8,7,OBLAP,24,24,23,34,35,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed7.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed7.png,success
8,7,TSP,,,,,,,36.7,226.36,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed7.png,success
8,8,OBLAP,22,22,21,31,32,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed8.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed8.png,success
8,8,TSP,,,,,,,37.8,233.2,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed8.png,success
8,9,OBLAP,22,22,21,30,31,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed9.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed9.png,success
8,9,TSP,,,,,,,36.4,229.33,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed9.png,success
8,10,OBLAP,22,22,21,32,33,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed10.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed10.png,success
8,10,TSP,,,,,,,37.7,232.55,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed10.png,success
8,11,OBLAP,24,24,23,32,33,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed11.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed11.png,success
8,11,TSP,,,,,,,36.7,236.85,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed11.png,success
8,12,OBLAP,24,24,26,35,36,4,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed12.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed12.png,success
8,12,TSP,,,,,,,36.4,229.96,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed12.png,success
8,13,OBLAP,23,23,22,31,32,2,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed13.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed13.png,success
8,13,TSP,,,,,,,38.4,244.66,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed13.png,success
8,14,OBLAP,17,17,16,30,31,3,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed14.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed14.png,success
8,14,TSP,,,,,,,39.4,230.74,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed14.png,success
8,15,OBLAP,17,17,16,27,28,3,,,batch_test_plots_20251228_145446\OBLAP_UAV8_Seed15.png,batch_test_plots_20251228_145446\Comparison_UAV8_Seed15.png,success
8,15,TSP,,,,,,,39.9,231.76,,batch_test_plots_20251228_145446\Comparison_UAV8_Seed15.png,success
9,1,OBLAP,18,18,17,29,30,2,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed1.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed1.png,success
9,1,TSP,,,,,,,34.9,237.42,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed1.png,success
9,2,OBLAP,19,19,18,30,31,2,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed2.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed2.png,success
9,2,TSP,,,,,,,37.9,243.76,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed2.png,success
9,3,OBLAP,16,16,15,26,27,2,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed3.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed3.png,success
9,3,TSP,,,,,,,37.9,255.74,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed3.png,success
9,4,OBLAP,24,24,23,34,35,5,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed4.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed4.png,success
9,4,TSP,,,,,,,35.9,235.98,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed4.png,success
9,5,OBLAP,23,23,22,31,32,3,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed5.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed5.png,success
9,5,TSP,,,,,,,36.2,242.25,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed5.png,success
9,6,OBLAP,18,18,17,28,29,2,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed6.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed6.png,success
9,6,TSP,,,,,,,40.9,248.73,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed6.png,success
9,7,OBLAP,22,22,21,32,33,3,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed7.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed7.png,success
9,7,TSP,,,,,,,36.2,237.79,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed7.png,success
9,8,OBLAP,20,20,19,29,30,2,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed8.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed8.png,success
9,8,TSP,,,,,,,34.9,242.92,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed8.png,success
9,9,OBLAP,22,22,21,31,32,3,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed9.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed9.png,success
9,9,TSP,,,,,,,33.0,233.27,,batch_test_plots_20251228_145446\Comparison_UAV9_Seed9.png,success
9,10,OBLAP,21,21,20,30,31,2,,,batch_test_plots_20251228_145446\OBLAP_UAV9_Seed10.png,batch_test_plots_20251228_145446\Comparison_UAV9_Seed10.png,success
