uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
9,4,OBLAP,24,24,23,34,35,5,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed4.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed4.png,success
9,4,TSP,,,,,,,33.3,232.66,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed4.png,success
9,5,OBLAP,23,23,22,31,32,3,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed5.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed5.png,success
9,5,TSP,,,,,,,33.8,237.78,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed5.png,success
9,6,OBLAP,18,18,17,28,29,2,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed6.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed6.png,success
9,6,TSP,,,,,,,36.3,238.88,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed6.png,success
9,7,OBLAP,22,22,21,32,33,3,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed7.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed7.png,success
9,7,TSP,,,,,,,34.0,235.31,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed7.png,success
9,8,OBLAP,20,20,19,29,30,2,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed8.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed8.png,success
9,8,TSP,,,,,,,29.0,215.57,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed8.png,success
9,9,OBLAP,22,22,21,31,32,3,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed9.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed9.png,success
9,9,TSP,,,,,,,32.9,233.27,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed9.png,success
9,10,OBLAP,21,21,20,30,31,2,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed10.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed10.png,success
9,10,TSP,,,,,,,27.7,213.64,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed10.png,success
9,11,OBLAP,24,24,23,33,34,5,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed11.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed11.png,success
9,11,TSP,,,,,,,35.0,236.04,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed11.png,success
9,12,OBLAP,24,24,23,33,34,5,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed12.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed12.png,success
9,12,TSP,,,,,,,27.3,207.68,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed12.png,success
9,13,OBLAP,21,21,20,28,29,2,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed13.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed13.png,success
9,13,TSP,,,,,,,35.8,238.45,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed13.png,success
9,14,OBLAP,19,19,18,29,30,2,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed14.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed14.png,success
9,14,TSP,,,,,,,30.0,220.17,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed14.png,success
9,15,OBLAP,14,14,13,25,26,2,,,batch_test_plots_20251228_192153\OBLAP_UAV9_Seed15.png,batch_test_plots_20251228_192153\Comparison_UAV9_Seed15.png,success
9,15,TSP,,,,,,,38.6,247.51,,batch_test_plots_20251228_192153\Comparison_UAV9_Seed15.png,success
10,1,OBLAP,16,16,15,25,26,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed1.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed1.png,success
10,1,TSP,,,,,,,29.6,231.91,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed1.png,success
10,2,OBLAP,19,19,18,30,31,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed2.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed2.png,success
10,2,TSP,,,,,,,32.9,236.34,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed2.png,success
10,3,OBLAP,20,20,19,30,31,2,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed3.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed3.png,success
10,3,TSP,,,,,,,30.7,233.5,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed3.png,success
10,4,OBLAP,23,23,22,32,33,4,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed4.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed4.png,success
10,4,TSP,,,,,,,30.9,236.16,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed4.png,success
10,5,OBLAP,23,23,22,32,33,3,,,batch_test_plots_20251228_192153\OBLAP_UAV10_Seed5.png,batch_test_plots_20251228_192153\Comparison_UAV10_Seed5.png,success
10,5,TSP,,,,,,,29.8,234.07,,batch_test_plots_20251228_192153\Comparison_UAV10_Seed5.png,success
