Strategy,Makespan,Total_Distance,Targets,Final_Positions,Paths,N,K
K-Means/Improved-GA-greedy-dynamic,42.90000000000034,75.32024675026855,"{(7.5, 6.5), (2.5, 0.5), (3.5, 0.5), (7.5, 3.5), (2.5, 2.5), (3.5, 2.5), (4.5, 0.5), (2.5, 1.5)}","[(3.5, 2.5), (2.5, 0.5), (np.float64(7.5), np.float64(3.500000000000005)), (3.5, 0.5), (2.5, 2.5), (4.5, 0.5000000000000099), (7.5, 6.5000000000000036), (2.5, 1.5)]","[[[(3.5, 2.5)]], [[(2.5, 0.5)]], [[(np.float64(7.5), np.float64(3.9000000000000052)), (7.5, 3.5)]], [[(3.5, 0.5)]], [[(2.5, 2.5)]], [[(4.5, 0.5000000000000099), (4.5, 0.5)]], [[(7.5, 6.5000000000000036), (7.5, 6.5)]], [[(2.5, 1.5)]]]",8,8
K-Means/Improved-GA-phased-hungarian,14.699999999999964,95.90498536880011,"{(0.5, 0.5), (1.5, 1.5), (2.5, 6.5), (3.5, 0.5), (6.5, 7.5), (0.5, 5.5), (6.5, 3.5), (4.5, 7.5)}","[(np.float64(6.4999999999999964), np.float64(3.5)), (3.5, 0.5), (0.5, 5.5), (0.5, 0.5), (6.5, 7.5), (4.5, 7.5), (2.5, 6.5), (1.5, 1.5)]","[[[(np.float64(4.5000000000000036), np.float64(3.5)), (6.5, 3.5)]], [[(np.float64(5.700000000000003), np.float64(1.5)), (3.5, 0.5)]], [[(np.float64(1.5), np.float64(3.5)), (0.5, 5.5)]], [[(np.float64(0.5), np.float64(1.5)), (0.5, 0.5)]], [[(np.float64(6.924264068711928), np.float64(6.924264068711928)), (6.5, 7.5)]], [[(np.float64(6.0999999999999925), np.float64(7.5)), (4.5, 7.5)]], [[(np.float64(1.5), np.float64(6.5)), (2.5, 6.5)]], [[(np.float64(2.5000000000000004), np.float64(2.5)), (1.5, 1.5)]]]",8,8
K-Means/Improved-GA-greedy-dynamic,24.60000000000008,62.08586945622558,"{(6.5, 5.5), (5.5, 4.5), (3.5, 0.5), (5.5, 0.5), (2.5, 2.5), (5.5, 3.5), (3.5, 2.5), (0.5, 1.5), (2.5, 4.5)}","[(2.5, 2.5), (5.5, 3.5), (np.float64(6.4999999999999964), np.float64(5.5)), (3.5, 0.5), (3.5, 2.5), (2.5, 4.5), (0.5, 1.5), (5.4999999999999964, 0.5), (5.5, 4.5)]","[[[(2.5, 2.5)]], [[(5.5, 3.5)]], [[(np.float64(6.099999999999998), np.float64(5.500000000000002)), (6.5, 5.5)]], [[(3.5, 0.5)]], [[(3.5, 2.5)]], [[(2.5, 4.5)]], [[(0.5, 1.5)]], [[(5.4999999999999964, 0.5), (5.5, 0.5)]], [[(5.5, 4.5)]]]",8,9
K-Means/Improved-GA-phased-hungarian,15.69999999999996,110.28457730493865,"{(1.5, 1.5), (2.5, 0.5), (2.5, 3.5), (4.5, 5.5), (2.5, 2.5), (1.5, 0.5), (3.5, 5.5), (6.5, 2.5), (7.5, 1.5)}","[(2.5, 0.5), (7.5, 1.5), (1.5, 1.5), (1.5, 0.5), (6.5, 2.5), (4.5, 5.5), (2.5, 3.5), (np.float64(2.5000000000000004), np.float64(2.5)), (3.5, 5.5)]","[[[(np.float64(4.5000000000000036), np.float64(3.5)), (2.5, 0.5)]], [[(np.float64(7.499999999999997), np.float64(1.9999999999999996)), (7.5, 1.5)]], [[(np.float64(1.5), np.float64(3.5)), (1.5, 1.5)]], [[(np.float64(0.5), np.float64(0.5)), (1.5, 0.5)]], [[(np.float64(6.934314575050758), np.float64(5.934314575050754)), (6.5, 2.5)]], [[(np.float64(7.2878679656440255), np.float64(7.2878679656440335)), (4.5, 5.5)]], [[(np.float64(1.5), np.float64(6.5000000000000036)), (2.5, 3.5)]], [[(np.float64(2.5000000000000004), np.float64(2.5)), (2.5, 2.5)]], [[(np.float64(2.5), np.float64(5.500000000000007)), (3.5, 5.5)]]]",8,9
K-Means/Improved-GA-greedy-dynamic,26.600000000000108,98.02815055866613,"{(7.5, 6.5), (1.5, 4.5), (7.5, 3.5), (0.5, 5.5), (6.5, 0.5), (7.5, 2.5), (5.5, 3.5), (6.5, 3.5), (4.5, 1.5), (7.5, 7.5)}","[(7.5, 3.5), (4.5, 1.5), (np.float64(0.5), np.float64(5.499999999999995)), (6.4999999999999964, 0.5), (5.5, 3.5), (7.4999999999999964, 7.5), (7.5, 6.5), (7.4999999999999964, 2.5), (1.5, 4.5), (6.5, 3.5)]","[[[(7.5, 3.5)]], [[(4.5, 1.5)]], [[(np.float64(0.5), np.float64(5.499999999999995)), (0.5, 5.5)]], [[(6.4999999999999964, 0.5), (6.5, 0.5)]], [[(5.5, 3.5)]], [[(7.4999999999999964, 7.5), (7.5, 7.5)]], [[(np.float64(7.033666658163698), np.float64(6.566619048833758)), (7.5, 6.5)]], [[(7.4999999999999964, 2.5), (7.5, 2.5)]], [[(1.5, 4.5)]], [[(6.5, 3.5)]]]",8,10
K-Means/Improved-GA-phased-hungarian,14.999999999999963,119.0169538846194,"{(2.5, 6.5), (3.5, 3.5), (5.5, 6.5), (6.5, 0.5), (1.5, 0.5), (6.5, 3.5), (4.5, 1.5), (5.5, 5.5), (7.5, 1.5), (2.5, 1.5)}","[(7.5, 1.5), (6.5, 0.5), (2.5, 1.5), (1.5, 0.5), (np.float64(6.5000000000000036), np.float64(3.5)), (5.5, 5.5), (2.5, 6.5), (4.5, 1.5), (np.float64(3.5), np.float64(3.5000000000000084)), (5.5, 6.5)]","[[[(np.float64(4.8000000000000025), np.float64(3.5000000000000018)), (7.5, 1.5)]], [[(np.float64(6.5), np.float64(1.4000000000000001)), (6.5, 0.5)]], [[(np.float64(1.5), np.float64(3.5)), (2.5, 1.5)]], [[(np.float64(0.5), np.float64(0.5)), (1.5, 0.5)]], [[(np.float64(6.900000000000002), np.float64(3.500000000000001)), (6.5, 3.5)]], [[(np.float64(3.500000000000005), np.float64(7.5)), (5.5, 5.5)]], [[(np.float64(1.5), np.float64(6.5000000000000036)), (2.5, 6.5)]], [[(np.float64(2.5000000000000004), np.float64(2.5)), (4.5, 1.5)]], [[(np.float64(3.5), np.float64(5.5000000000000036)), (3.5, 3.5)]], [[(np.float64(6.8000000000000025), np.float64(7.499999999999998)), (5.5, 6.5)]]]",8,10
K-Means/Improved-GA-greedy-dynamic,43.60000000000035,89.43220654063266,"{(4.5, 3.5), (3.5, 1.5), (0.5, 0.5), (5.5, 4.5), (3.5, 7.5), (5.5, 7.5), (2.5, 2.5), (1.5, 0.5), (3.5, 5.5), (0.5, 7.5), (7.5, 1.5)}","[(2.5, 2.5), (1.5, 0.5), (0.5, 7.5), (0.5, 0.5), (5.499999999999995, 4.5), (4.499999999999998, 3.5), (5.4999999999999964, 7.5), (3.5, 1.5), (3.5, 7.5), (np.float64(7.5), np.float64(1.5000000000000102)), (3.5, 5.5000000000000036)]","[[[(2.5, 2.5)]], [[(1.5, 0.5)]], [[(0.5, 7.5)]], [[(0.5, 0.5)]], [[(5.499999999999995, 4.5), (5.5, 4.5)]], [[(4.499999999999998, 3.5), (4.5, 3.5)]], [[(5.4999999999999964, 7.5), (5.5, 7.5)]], [[(3.5, 1.5)]], [[(3.5, 7.5)]], [[(np.float64(7.5), np.float64(1.9000000000000106)), (7.5, 1.5)]], [[(3.5, 5.5000000000000036), (3.5, 5.5)]]]",8,11
K-Means/Improved-GA-phased-hungarian,13.09999999999997,113.19203615944218,"{(6.5, 1.5), (4.5, 6.5), (5.5, 7.5), (7.5, 3.5), (1.5, 4.5), (5.5, 0.5), (1.5, 0.5), (7.5, 5.5), (0.5, 1.5), (2.5, 4.5), (7.5, 1.5)}","[(5.5, 0.5), (np.float64(6.5000000000000036), np.float64(1.5)), (1.5, 4.5), (0.5, 1.5), (7.5, 3.5), (np.float64(5.5), np.float64(7.4999999999999964)), (2.5, 4.5), (1.5, 0.5), (4.5, 6.5), (7.5, 5.5), (7.5, 1.5)]","[[[(np.float64(5.489949493661168), np.float64(4.510050506338832)), (5.5, 0.5)]], [[(np.float64(6.8000000000000025), np.float64(1.5)), (6.5, 1.5)]], [[(np.float64(0.5), np.float64(4.900000000000002)), (1.5, 4.5)]], [[(np.float64(0.5), np.float64(0.5)), (0.5, 1.5)]], [[(np.float64(7.299999999999994), np.float64(5.5)), (7.5, 3.5)]], [[(np.float64(5.499999999999998), np.float64(7.099999999999998)), (5.5, 7.5)]], [[(np.float64(1.5), np.float64(6.700000000000003)), (2.5, 4.5)]], [[(np.float64(3.000000000000001), np.float64(2.5)), (1.5, 0.5)]], [[(np.float64(2.5), np.float64(7.000000000000002)), (4.5, 6.5)]], [[(np.float64(6.999999999999998), np.float64(6.5)), (7.5, 5.5)]], [[(np.float64(7.5), np.float64(2.599999999999999)), (7.5, 1.5)]]]",8,11
K-Means/Improved-GA-greedy-dynamic,23.700000000000067,94.8553867363095,"{(4.5, 6.5), (7.5, 6.5), (7.5, 0.5), (4.5, 2.5), (5.5, 7.5), (1.5, 4.5), (0.5, 2.5), (1.5, 7.5), (5.5, 0.5), (4.5, 1.5), (7.5, 1.5), (7.5, 7.5)}","[(7.5, 6.4999999999999964), (4.5, 1.5), (1.5, 4.5), (5.5, 0.5), (7.5, 1.5), (5.5000000000000036, 7.5), (0.5, 2.5), (4.5, 2.5), (4.5, 6.5), (np.float64(7.499999999999989), np.float64(7.5)), (7.4999999999999964, 0.5), (1.5, 7.5)]","[[[(7.5, 6.4999999999999964), (7.5, 6.5)]], [[(4.5, 1.5)]], [[(1.5, 4.5)]], [[(5.5, 0.5)]], [[(7.5, 1.5)]], [[(5.5000000000000036, 7.5), (5.5, 7.5)]], [[(0.5, 2.5)]], [[(4.5, 2.5)]], [[(4.5, 6.5)]], [[(np.float64(7.099999999999991), np.float64(7.5)), (7.5, 7.5)]], [[(7.4999999999999964, 0.5), (7.5, 0.5)]], [[(1.5, 7.5)]]]",8,12
K-Means/Improved-GA-phased-hungarian,12.89999999999997,120.84759462599692,"{(5.5, 1.5), (0.5, 0.5), (4.5, 6.5), (3.5, 0.5), (0.5, 6.5), (3.5, 3.5), (7.5, 2.5), (6.5, 6.5), (4.5, 4.5), (6.5, 3.5), (1.5, 3.5), (6.5, 2.5)}","[(6.5, 3.5), (5.5, 1.5), (3.5, 3.5), (np.float64(0.5), np.float64(0.5)), (np.float64(7.5), np.float64(2.500000000000004)), (4.5, 6.5), (0.5, 6.5), (3.5, 0.5), (4.5, 4.5), (6.5, 6.5), (np.float64(6.5000000000000036), np.float64(2.5)), (1.5, 3.5)]","[[[(np.float64(5.5), np.float64(4.5000000000000036)), (6.5, 3.5)]], [[(np.float64(6.200000000000005), np.float64(0.5)), (5.5, 1.5)]], [[(np.float64(0.5), np.float64(4.5000000000000036)), (3.5, 3.5)]], [[(np.float64(0.5), np.float64(0.5))]], [[(np.float64(7.499999999999998), np.float64(4.8000000000000025)), (7.5, 2.5)]], [[(np.float64(5.300000000000001), np.float64(7.4999999999999964)), (4.5, 6.5)]], [[(np.float64(1.5), np.float64(6.5000000000000036)), (0.5, 6.5)]], [[(np.float64(2.5), np.float64(1.5)), (3.5, 0.5)]], [[(np.float64(3.5), np.float64(5.900000000000002)), (4.5, 4.5)]], [[(np.float64(7.4999999999999964), np.float64(6.6)), (6.5, 6.5)]], [[(np.float64(6.900000000000002), np.float64(2.5)), (6.5, 2.5)]], [[(np.float64(0.5), np.float64(3.5)), (1.5, 3.5)]]]",8,12
K-Means/Improved-GA-greedy-dynamic,34.70000000000022,97.07123180768167,"{(6.5, 1.5), (5.5, 4.5), (4.5, 6.5), (0.5, 6.5), (2.5, 3.5), (0.5, 5.5), (6.5, 0.5), (2.5, 2.5), (6.5, 6.5), (2.5, 5.5), (0.5, 7.5), (6.5, 2.5), (2.5, 1.5)}","[(2.5, 2.5), (6.499999999999991, 0.5), (2.5, 5.5), (6.5, 1.5), (5.4999999999999964, 4.5), (2.5, 3.5), (0.5, 5.499999999999995), (np.float64(6.5), np.float64(6.5000000000000036)), (0.5, 7.5), (4.5, 6.4999999999999964), (2.5, 1.5), (0.5, 6.5), (6.4999999999999964, 2.5)]","[[[(2.5, 2.5)]], [[(6.499999999999991, 0.5), (6.5, 0.5)]], [[(2.5, 5.5)]], [[(6.5, 1.5)]], [[(5.4999999999999964, 4.5), (5.5, 4.5)]], [[(2.5, 3.5)]], [[(0.5, 5.499999999999995), (0.5, 5.5)]], [[(np.float64(6.500000000000002), np.float64(6.900000000000002)), (6.5, 6.5)]], [[(0.5, 7.5)]], [[(4.5, 6.4999999999999964), (4.5, 6.5)]], [[(2.5, 1.5)]], [[(0.5, 6.5)]], [[(6.4999999999999964, 2.5), (6.5, 2.5)]]]",8,13
