Strategy,Makespan,Total_Distance,Targets,Final_Positions,Paths,N,K
K-Means/Improved-GA-phased-hungarian,14.199999999999966,132.0050875481453,"{(1.5, 5.5), (0.5, 0.5), (6.5, 1.5), (7.5, 0.5), (6.5, 4.5), (2.5, 6.5), (6.5, 7.5), (3.5, 3.5), (6.5, 0.5), (3.5, 2.5), (2.5, 5.5), (0.5, 1.5), (7.5, 7.5)}","[(np.float64(3.5000000000000013), np.float64(3.5)), (np.float64(6.4999999999999964), np.float64(0.5)), (1.5, 5.5), (np.float64(0.5), np.float64(1.5)), (np.float64(6.5000000000000036), np.float64(4.5)), (np.float64(6.4999999999999964), np.float64(7.5)), (2.5, 6.5), (3.5, 2.5), (2.5, 5.5), (7.5, 7.5), (7.5, 0.5), (0.5, 0.5), (np.float64(6.5000000000000036), np.float64(1.5))]","[[[(np.float64(4.5), np.float64(3.5)), (3.5, 3.5)]], [[(np.float64(4.5000000000000036), np.float64(0.5)), (6.5, 0.5)]], [[(np.float64(0.5), np.float64(4.5000000000000036)), (1.5, 5.5)]], [[(np.float64(0.5), np.float64(1.5))]], [[(np.float64(6.5000000000000036), np.float64(4.5)), (6.5, 4.5)]], [[(np.float64(3.800000000000005), np.float64(7.5)), (6.5, 7.5)]], [[(np.float64(1.5), np.float64(6.5000000000000036)), (2.5, 6.5)]], [[(np.float64(3.5), np.float64(0.5)), (3.5, 2.5)]], [[(np.float64(3.5), np.float64(5.5000000000000036)), (2.5, 5.5)]], [[(np.float64(6.900000000000002), np.float64(7.499999999999998)), (7.5, 7.5)]], [[(np.float64(6.5000000000000036), np.float64(2.5)), (7.5, 0.5)]], [[(np.float64(1.5), np.float64(2.5)), (0.5, 0.5)]], [[(np.float64(6.5000000000000036), np.float64(1.5)), (6.5, 1.5)]]]",8,13
K-Means/Improved-GA-greedy-dynamic,34.60000000000022,112.91854600827544,"{(2.5, 7.5), (1.5, 5.5), (3.5, 1.5), (6.5, 1.5), (6.5, 5.5), (7.5, 0.5), (2.5, 0.5), (5.5, 1.5), (1.5, 4.5), (6.5, 7.5), (2.5, 1.5), (5.5, 0.5), (7.5, 1.5), (7.5, 7.5)}","[(6.4999999999999964, 5.5), (2.5, 0.5), (1.5, 4.5), (7.4999999999999964, 0.5), (7.5, 7.499999999999989), (6.5, 7.4999999999999964), (7.5, 1.5), (5.4999999999999964, 1.5), (2.5, 7.5), (5.5, 0.5), (2.5, 1.5), (1.5, 5.5), (3.5, 1.5), (6.5, 1.5)]","[[[(6.4999999999999964, 5.5), (6.5, 5.5)]], [[(2.5, 0.5)]], [[(1.5, 4.5)]], [[(7.4999999999999964, 0.5), (7.5, 0.5)]], [[(7.5, 7.499999999999989), (7.5, 7.5)]], [[(6.5, 7.4999999999999964), (6.5, 7.5)]], [[(np.float64(7.065685424949237), np.float64(1.9343145750507629)), (7.5, 1.5)]], [[(5.4999999999999964, 1.5), (5.5, 1.5)]], [[(2.5, 7.5)]], [[(5.5, 0.5)]], [[(2.5, 1.5)]], [[(1.5, 5.5)]], [[(3.5, 1.5)]], [[(6.5, 1.5)]]]",8,14
K-Means/Improved-GA-phased-hungarian,16.399999999999963,137.35903110669184,"{(6.5, 5.5), (4.5, 3.5), (6.5, 1.5), (6.5, 4.5), (6.5, 7.5), (1.5, 7.5), (5.5, 6.5), (6.5, 0.5), (1.5, 0.5), (4.5, 1.5), (4.5, 7.5), (0.5, 1.5), (1.5, 2.5), (7.5, 1.5)}","[(np.float64(4.5), np.float64(3.5)), (6.5, 1.5), (0.5, 1.5), (1.5, 0.5), (np.float64(6.5000000000000036), np.float64(5.5)), (np.float64(5.5), np.float64(6.5000000000000036)), (1.5, 7.5), (4.5, 1.5), (4.5, 7.5), (np.float64(6.5000000000000036), np.float64(7.5)), (7.5, 1.5), (np.float64(1.5), np.float64(2.5)), (np.float64(6.5000000000000036), np.float64(0.5)), (6.5, 4.5)]","[[[(np.float64(4.5), np.float64(3.5))]], [[(np.float64(4.5000000000000036), np.float64(0.5)), (6.5, 1.5)]], [[(np.float64(1.5), np.float64(4.5)), (0.5, 1.5)]], [[(np.float64(0.5), np.float64(0.5)), (1.5, 0.5)]], [[(np.float64(6.5000000000000036), np.float64(5.5)), (6.5, 5.5)]], [[(np.float64(5.5), np.float64(6.5000000000000036)), (5.5, 6.5)]], [[(np.float64(1.5), np.float64(6.5000000000000036)), (1.5, 7.5)]], [[(np.float64(3.5), np.float64(0.5)), (4.5, 1.5)]], [[(np.float64(2.5), np.float64(6.5000000000000036)), (4.5, 7.5)]], [[(np.float64(6.900000000000002), np.float64(7.499999999999998)), (6.5, 7.5)]], [[(np.float64(6.5000000000000036), np.float64(2.5)), (7.5, 1.5)]], [[(np.float64(1.5), np.float64(2.5))]], [[(np.float64(6.5000000000000036), np.float64(0.5)), (6.5, 0.5)]], [[(np.float64(1.5), np.float64(5.5)), (6.5, 4.5)]]]",8,14
K-Means/Improved-GA-greedy-dynamic,41.200000000000315,102.88157256619503,"{(4.5, 3.5), (3.5, 1.5), (5.5, 4.5), (7.5, 0.5), (2.5, 6.5), (3.5, 0.5), (5.5, 5.5), (2.5, 2.5), (3.5, 2.5), (4.5, 1.5), (4.5, 7.5), (3.5, 5.5), (0.5, 1.5), (4.5, 0.5), (7.5, 7.5)}","[(4.499999999999998, 3.5), (3.5, 0.5), (0.5, 1.5), (5.5000000000000036, 5.5), (2.5, 2.5), (3.5, 5.5), (7.4999999999999964, 0.5), (4.5, 1.5), (2.5, 6.5), (3.5, 2.5), (3.5, 1.5), (np.float64(7.5), np.float64(7.499999999999988)), (4.5, 0.5), (4.499999999999998, 7.5), (5.5, 4.499999999999998)]","[[[(4.499999999999998, 3.5), (4.5, 3.5)]], [[(3.5, 0.5)]], [[(0.5, 1.5)]], [[(5.5000000000000036, 5.5), (5.5, 5.5)]], [[(2.5, 2.5)]], [[(3.5, 5.5)]], [[(7.4999999999999964, 0.5), (7.5, 0.5)]], [[(4.5, 1.5)]], [[(2.5, 6.5)]], [[(3.5, 2.5)]], [[(3.5, 1.5)]], [[(np.float64(7.5), np.float64(7.099999999999989)), (7.5, 7.5)]], [[(4.5, 0.5)]], [[(4.499999999999998, 7.5), (4.5, 7.5)]], [[(5.5, 4.499999999999998), (5.5, 4.5)]]]",8,15
K-Means/Improved-GA-phased-hungarian,16.399999999999963,141.95411275940415,"{(6.5, 5.5), (5.5, 7.5), (0.5, 6.5), (6.5, 7.5), (0.5, 2.5), (5.5, 6.5), (0.5, 5.5), (6.5, 6.5), (1.5, 0.5), (3.5, 2.5), (7.5, 5.5), (1.5, 2.5), (3.5, 5.5), (5.5, 5.5), (2.5, 1.5)}","[(5.5, 5.5), (3.5, 2.5), (0.5, 5.5), (np.float64(1.5), np.float64(0.5)), (np.float64(6.5), np.float64(6.4999999999999964)), (np.float64(5.5), np.float64(6.5000000000000036)), (0.5, 6.5), (np.float64(2.5), np.float64(1.5)), (5.5, 7.5), (np.float64(6.5000000000000036), np.float64(7.5)), (np.float64(6.5), np.float64(5.499999999999996)), (np.float64(0.5), np.float64(2.5)), (7.5, 5.5), (3.5, 5.5), (1.5, 2.5)]","[[[(np.float64(4.5), np.float64(3.5)), (5.5, 5.5)]], [[(np.float64(4.5), np.float64(1.5)), (3.5, 2.5)]], [[(np.float64(0.5), np.float64(4.5000000000000036)), (0.5, 5.5)]], [[(np.float64(1.5), np.float64(0.5))]], [[(np.float64(6.5000000000000036), np.float64(5.5)), (6.5, 6.5)]], [[(np.float64(5.5), np.float64(6.5000000000000036)), (5.5, 6.5)]], [[(np.float64(1.5), np.float64(6.5000000000000036)), (0.5, 6.5)]], [[(np.float64(2.5), np.float64(1.5))]], [[(np.float64(3.5), np.float64(6.5000000000000036)), (5.5, 7.5)]], [[(np.float64(6.900000000000002), np.float64(7.499999999999998)), (6.5, 7.5)]], [[(np.float64(6.5000000000000036), np.float64(2.5)), (6.5, 5.5)]], [[(np.float64(0.5), np.float64(2.5))]], [[(np.float64(6.5000000000000036), np.float64(0.5)), (7.5, 5.5)]], [[(np.float64(1.5), np.float64(5.5)), (3.5, 5.5)]], [[(np.float64(2.5), np.float64(3.5)), (1.5, 2.5)]]]",8,15
K-Means/Improved-GA-greedy-dynamic,51.700000000000465,78.82813640895321,"{(3.5, 6.5), (7.5, 0.5), (2.5, 1.5)}","[(2.5, 1.5), (7.5, 0.5), (3.5, 6.5000000000000036)]","[[[(2.5, 1.5)]], [[(np.float64(7.500000000000006), np.float64(0.9999999999999997)), (7.5, 0.5)]], [[(3.5, 6.5000000000000036), (3.5, 6.5)]]]",12,3
K-Means/Improved-GA-phased-hungarian,20.900000000000027,59.6404955362468,"{(3.5, 6.5), (7.5, 0.5), (2.5, 1.5)}","[(7.5, 0.5), (2.5, 1.5), (3.5, 6.5)]","[[[(np.float64(11.5), np.float64(1.5)), (7.5, 0.5)]], [[(np.float64(7.26026311234993), np.float64(0.9794737753001425)), (2.5, 1.5)]], [[(np.float64(0.5), np.float64(8.699999999999996)), (3.5, 6.5)]]]",12,3
K-Means/Improved-GA-greedy-dynamic,46.800000000000395,58.862115892554876,"{(1.5, 0.5), (2.5, 2.5), (6.5, 6.5), (6.5, 3.5)}","[(2.5, 2.5), (np.float64(6.5000000000000036), np.float64(6.5)), (6.499999999999993, 3.5), (1.5, 0.5)]","[[[(2.5, 2.5)]], [[(np.float64(6.900000000000002), np.float64(6.499999999999998)), (6.5, 6.5)]], [[(6.499999999999993, 3.5), (6.5, 3.5)]], [[(1.5, 0.5)]]]",12,4
K-Means/Improved-GA-phased-hungarian,12.69999999999997,42.01641024838776,"{(1.5, 0.5), (2.5, 2.5), (6.5, 6.5), (6.5, 3.5)}","[(6.5, 6.5), (1.5, 0.5), (2.5, 2.5), (6.5, 3.5)]","[[[(np.float64(6.6), np.float64(6.5)), (6.5, 6.5)]], [[(np.float64(4.899999999999997), np.float64(0.5)), (1.5, 0.5)]], [[(np.float64(3.0000000000000004), np.float64(6.5)), (2.5, 2.5)]], [[(np.float64(6.5), np.float64(3.0000000000000004)), (6.5, 3.5)]]]",12,4
K-Means/Improved-GA-greedy-dynamic,85.7999999999994,171.8442536527948,"{(4.5, 9.5), (8.5, 7.5), (11.5, 11.5), (10.5, 3.5), (11.5, 4.5)}","[(11.5, 4.499999999999998), (11.5, 11.499999999999993), (4.5, 9.499999999999996), (10.5, 3.5), (np.float64(8.5), np.float64(7.4999999999999964))]","[[[(11.5, 4.499999999999998), (11.5, 4.5)]], [[(11.5, 11.499999999999993), (11.5, 11.5)]], [[(4.5, 9.499999999999996), (4.5, 9.5)]], [[(np.float64(10.06568542494924), np.float64(3.9343145750507627)), (10.5, 3.5)]], [[(np.float64(8.5), np.float64(7.4999999999999964)), (8.5, 7.5)]]]",12,5
K-Means/Improved-GA-phased-hungarian,51.100000000000456,185.1754762367367,"{(8.5, 7.5), (1.5, 1.5), (4.5, 6.5), (8.5, 0.5), (4.5, 10.5)}","[(8.5, 0.5), (np.float64(4.5), np.float64(6.5000000000000036)), (4.5, 10.5), (1.5, 1.5), (np.float64(8.5), np.float64(7.5000000000000036))]","[[[(np.float64(7.500000000000007), np.float64(5.5)), (8.5, 0.5)]], [[(np.float64(4.5000000000000036), np.float64(7.5)), (4.5, 6.5)]], [[(np.float64(3.5000000000000013), np.float64(10.5)), (4.5, 10.5)]], [[(np.float64(1.5), np.float64(0.5)), (1.5, 1.5)]], [[(np.float64(8.500000000000004), np.float64(7.900000000000002)), (8.5, 7.5)]]]",12,5
K-Means/Improved-GA-greedy-dynamic,68.80000000000037,150.41710569654728,"{(4.5, 5.5), (9.5, 3.5), (0.5, 8.5), (2.5, 11.5), (2.5, 8.5), (11.5, 10.5)}","[(9.499999999999996, 3.5), (4.5, 5.5), (np.float64(0.5), np.float64(8.499999999999986)), (np.float64(2.5000000000000075), np.float64(11.5)), (11.5, 10.499999999999996), (2.5, 8.499999999999996)]","[[[(9.499999999999996, 3.5), (9.5, 3.5)]], [[(4.5, 5.5)]], [[(np.float64(0.5), np.float64(8.499999999999986)), (0.5, 8.5)]], [[(np.float64(2.900000000000008), np.float64(11.5)), (2.5, 11.5)]], [[(11.5, 10.499999999999996), (11.5, 10.5)]], [[(2.5, 8.499999999999996), (2.5, 8.5)]]]",12,6
K-Means/Improved-GA-phased-hungarian,48.10000000000041,195.8664324211161,"{(11.5, 9.5), (7.5, 9.5), (10.5, 3.5), (7.5, 11.5), (2.5, 8.5), (0.5, 1.5)}","[(10.5, 3.5), (7.5, 9.5), (2.5, 8.5), (11.5, 9.5), (7.5, 11.5), (np.float64(0.5), np.float64(1.5))]","[[[(np.float64(9.500000000000004), np.float64(1.5)), (10.5, 3.5)]], [[(np.float64(5.5000000000000036), np.float64(7.5)), (7.5, 9.5)]], [[(np.float64(0.5), np.float64(11.499999999999993)), (2.5, 8.5)]], [[(np.float64(6.5), np.float64(4.5)), (11.5, 9.5)]], [[(np.float64(7.099999999999998), np.float64(9.500000000000004)), (7.5, 11.5)]], [[(np.float64(0.5), np.float64(1.5))]]]",12,6
K-Means/Improved-GA-greedy-dynamic,45.00000000000037,125.11778817550717,"{(4.5, 9.5), (1.5, 1.5), (0.5, 9.5), (4.5, 11.5), (2.5, 2.5), (9.5, 5.5), (11.5, 1.5)}","[(4.500000000000007, 11.5), (1.5, 1.5), (4.499999999999999, 9.5), (11.5, 1.5), (2.5, 2.5), (np.float64(9.499999999999993), np.float64(5.5)), (0.5, 9.499999999999993)]","[[[(4.500000000000007, 11.5), (4.5, 11.5)]], [[(1.5, 1.5)]], [[(4.499999999999999, 9.5), (4.5, 9.5)]], [[(11.5, 1.5)]], [[(2.5, 2.5)]], [[(np.float64(9.099999999999994), np.float64(5.500000000000002)), (9.5, 5.5)]], [[(0.5, 9.499999999999993), (0.5, 9.5)]]]",12,7
K-Means/Improved-GA-phased-hungarian,31.400000000000176,177.76305243391167,"{(5.5, 1.5), (4.5, 11.5), (11.5, 11.5), (2.5, 2.5), (0.5, 4.5), (0.5, 1.5), (5.5, 5.5)}","[(2.5, 2.5), (5.5, 5.5), (np.float64(4.5), np.float64(11.499999999999996)), (5.5, 1.5), (11.5, 11.5), (0.5, 1.5), (0.5, 4.5)]","[[[(np.float64(8.799999999999999), np.float64(5.4999999999999964)), (2.5, 2.5)]], [[(np.float64(6.419238815542516), np.float64(8.419238815542515)), (5.5, 5.5)]], [[(np.float64(4.5000000000000036), np.float64(10.5)), (4.5, 11.5)]], [[(np.float64(7.5000000000000036), np.float64(2.5)), (5.5, 1.5)]], [[(np.float64(11.06568542494924), np.float64(11.065685424949237)), (11.5, 11.5)]], [[(np.float64(0.9919349550499537), np.float64(1.5161300899000931)), (0.5, 1.5)]], [[(np.float64(2.5), np.float64(8.5)), (0.5, 4.5)]]]",12,7
K-Means/Improved-GA-greedy-dynamic,81.19999999999966,180.16018416386126,"{(9.5, 7.5), (0.5, 3.5), (3.5, 0.5), (10.5, 10.5), (5.5, 10.5), (5.5, 9.5), (11.5, 8.5), (4.5, 4.5)}","[(9.499999999999996, 7.5), (4.499999999999998, 4.5), (11.499999999999993, 8.5), (5.500000000000007, 10.5), (10.5, 10.5), (5.5000000000000036, 9.5), (0.5, 3.5), (3.5, 0.5)]","[[[(9.499999999999996, 7.5), (9.5, 7.5)]], [[(4.499999999999998, 4.5), (4.5, 4.5)]], [[(11.499999999999993, 8.5), (11.5, 8.5)]], [[(5.500000000000007, 10.5), (5.5, 10.5)]], [[(np.float64(10.93431457505076), np.float64(10.065685424949237)), (10.5, 10.5)]], [[(5.5000000000000036, 9.5), (5.5, 9.5)]], [[(0.5, 3.5)]], [[(3.5, 0.5)]]]",12,8
K-Means/Improved-GA-phased-hungarian,26.200000000000102,177.08179115396808,"{(3.5, 1.5), (4.5, 9.5), (7.5, 0.5), (3.5, 10.5), (9.5, 10.5), (8.5, 6.5), (4.5, 0.5), (8.5, 4.5)}","[(8.5, 6.5), (8.5, 4.5), (3.5, 1.5), (4.5, 9.5), (4.5, 0.5), (np.float64(9.5), np.float64(10.500000000000004)), (3.5, 10.5), (np.float64(7.500000000000014), np.float64(0.5))]","[[[(np.float64(9.699999999999996), np.float64(6.5)), (8.5, 6.5)]], [[(np.float64(3.5), np.float64(6.5000000000000036)), (8.5, 4.5)]], [[(np.float64(0.5), np.float64(3.500000000000005)), (3.5, 1.5)]], [[(np.float64(6.499999999999999), np.float64(11.299999999999997)), (4.5, 9.5)]], [[(np.float64(4.599999999999998), np.float64(3.5)), (4.5, 0.5)]], [[(np.float64(9.499999999999996), np.float64(10.900000000000002)), (9.5, 10.5)]], [[(np.float64(1.4), np.float64(11.5)), (3.5, 10.5)]], [[(np.float64(9.900000000000006), np.float64(0.5)), (7.5, 0.5)]]]",12,8
K-Means/Improved-GA-greedy-dynamic,69.10000000000035,164.6701545844266,"{(7.5, 10.5), (1.5, 1.5), (9.5, 7.5), (10.5, 7.5), (3.5, 0.5), (0.5, 6.5), (6.5, 10.5), (4.5, 8.5), (0.5, 11.5)}","[(9.5, 7.4999999999999964), (7.5, 10.499999999999996), (0.5, 11.5), (4.499999999999998, 8.5), (3.5, 0.5), (1.5, 1.5), (0.5, 6.499999999999992), (10.5, 7.4999999999999964), (np.float64(6.499999999999991), np.float64(10.5))]","[[[(9.5, 7.4999999999999964), (9.5, 7.5)]], [[(7.5, 10.499999999999996), (7.5, 10.5)]], [[(0.5, 11.5)]], [[(4.499999999999998, 8.5), (4.5, 8.5)]], [[(3.5, 0.5)]], [[(1.5, 1.5)]], [[(0.5, 6.499999999999992), (0.5, 6.5)]], [[(10.5, 7.4999999999999964), (10.5, 7.5)]], [[(np.float64(6.0999999999999925), np.float64(10.5)), (6.5, 10.5)]]]",12,9
K-Means/Improved-GA-phased-hungarian,35.70000000000024,209.0953290265254,"{(3.5, 7.5), (7.5, 6.5), (3.5, 10.5), (4.5, 11.5), (4.5, 4.5), (11.5, 1.5), (10.5, 5.5), (10.5, 11.5), (10.5, 1.5)}","[(10.5, 5.5), (7.5, 6.5), (3.5, 7.5), (4.5, 11.5), (np.float64(4.500000000000007), np.float64(4.5)), (np.float64(10.499999999999993), np.float64(11.5)), (np.float64(3.5), np.float64(10.500000000000004)), (np.float64(10.499999999999996), np.float64(1.5)), (11.5, 1.5)]","[[[(np.float64(11.5), np.float64(3.900000000000009)), (10.5, 5.5)]], [[(np.float64(6.4999999999999964), np.float64(5.5)), (7.5, 6.5)]], [[(np.float64(2.5), np.float64(5.5000000000000036)), (3.5, 7.5)]], [[(np.float64(5.5), np.float64(9.500000000000004)), (4.5, 11.5)]], [[(np.float64(4.500000000000007), np.float64(4.5)), (4.5, 4.5)]], [[(np.float64(10.099999999999994), np.float64(11.5)), (10.5, 11.5)]], [[(np.float64(3.5), np.float64(10.500000000000004)), (3.5, 10.5)]], [[(np.float64(9.5), np.float64(1.5)), (10.5, 1.5)]], [[(np.float64(1.5), np.float64(0.5)), (11.5, 1.5)]]]",12,9
K-Means/Improved-GA-greedy-dynamic,49.50000000000043,178.2828817997232,"{(2.5, 3.5), (4.5, 11.5), (11.5, 7.5), (7.5, 5.5), (0.5, 8.5), (1.5, 3.5), (8.5, 5.5), (4.5, 10.5), (10.5, 5.5), (5.5, 11.5)}","[(7.4999999999999964, 5.5), (4.5, 10.499999999999996), (1.5, 3.5), (2.5, 3.5), (11.5, 7.499999999999989), (8.5, 5.5), (0.5, 8.50000000000001), (5.5, 11.5), (4.499999999999998, 11.5), (10.5, 5.5000000000000036)]","[[[(7.4999999999999964, 5.5), (7.5, 5.5)]], [[(4.5, 10.499999999999996), (4.5, 10.5)]], [[(1.5, 3.5)]], [[(2.5, 3.5)]], [[(11.5, 7.499999999999989), (11.5, 7.5)]], [[(8.5, 5.5)]], [[(0.5, 8.50000000000001), (0.5, 8.5)]], [[(np.float64(5.934314575050763), np.float64(11.065685424949233)), (5.5, 11.5)]], [[(4.499999999999998, 11.5), (4.5, 11.5)]], [[(10.5, 5.5000000000000036), (10.5, 5.5)]]]",12,10
K-Means/Improved-GA-phased-hungarian,33.80000000000021,229.4247171874197,"{(8.5, 1.5), (4.5, 6.5), (8.5, 10.5), (2.5, 9.5), (8.5, 9.5), (10.5, 6.5), (8.5, 2.5), (7.5, 5.5), (6.5, 3.5), (2.5, 11.5)}","[(np.float64(10.5), np.float64(6.499999999999991)), (4.5, 6.5), (2.5, 9.5), (np.float64(8.499999999999996), np.float64(9.5)), (8.5, 1.5), (8.5, 10.5), (2.5, 11.5), (8.5, 2.5), (6.5, 3.5), (7.5, 5.5)]","[[[(np.float64(10.500000000000004), np.float64(3.5)), (10.5, 6.5)]], [[(np.float64(3.5000000000000013), np.float64(5.5)), (4.5, 6.5)]], [[(np.float64(0.5), np.float64(5.500000000000007)), (2.5, 9.5)]], [[(np.float64(7.5), np.float64(9.500000000000007)), (8.5, 9.5)]], [[(np.float64(7.5), np.float64(0.5)), (8.5, 1.5)]], [[(np.float64(8.5), np.float64(9.900000000000006)), (8.5, 10.5)]], [[(np.float64(0.5), np.float64(8.500000000000004)), (2.5, 11.5)]], [[(np.float64(9.500000000000007), np.float64(0.5)), (8.5, 2.5)]], [[(np.float64(0.5), np.float64(0.5)), (6.5, 3.5)]], [[(np.float64(6.5), np.float64(7.5000000000000036)), (7.5, 5.5)]]]",12,10
K-Means/Improved-GA-greedy-dynamic,63.30000000000063,200.24273763095923,"{(6.5, 11.5), (8.5, 1.5), (10.5, 4.5), (11.5, 9.5), (2.5, 6.5), (6.5, 7.5), (6.5, 3.5), (1.5, 9.5), (9.5, 11.5), (9.5, 8.5), (7.5, 7.5)}","[(6.5, 3.5), (2.5, 6.5), (9.499999999999993, 11.5), (6.5, 11.499999999999996), (6.5, 7.5000000000000036), (7.5, 7.4999999999999964), (1.5, 9.500000000000004), (8.5, 1.5), (np.float64(11.5), np.float64(9.49999999999998)), (10.499999999999986, 4.5), (9.5, 8.499999999999996)]","[[[(6.5, 3.5)]], [[(2.5, 6.5)]], [[(9.499999999999993, 11.5), (9.5, 11.5)]], [[(6.5, 11.499999999999996), (6.5, 11.5)]], [[(6.5, 7.5000000000000036), (6.5, 7.5)]], [[(7.5, 7.4999999999999964), (7.5, 7.5)]], [[(1.5, 9.500000000000004), (1.5, 9.5)]], [[(8.5, 1.5)]], [[(np.float64(11.5), np.float64(9.099999999999982)), (11.5, 9.5)]], [[(10.499999999999986, 4.5), (10.5, 4.5)]], [[(9.5, 8.499999999999996), (9.5, 8.5)]]]",12,11
K-Means/Improved-GA-phased-hungarian,31.800000000000182,233.75386024720711,"{(10.5, 11.5), (2.5, 6.5), (10.5, 7.5), (11.5, 6.5), (9.5, 0.5), (8.5, 2.5), (2.5, 5.5), (4.5, 1.5), (9.5, 2.5), (8.5, 8.5), (5.5, 5.5)}","[(11.5, 6.5), (5.5, 5.5), (2.5, 5.5), (8.5, 8.5), (9.5, 2.5), (np.float64(10.500000000000004), np.float64(11.5)), (2.5, 6.5), (np.float64(9.500000000000007), np.float64(0.5)), (4.5, 1.5), (np.float64(10.499999999999986), np.float64(7.5)), (np.float64(8.499999999999993), np.float64(2.5))]","[[[(np.float64(10.700000000000003), np.float64(3.5000000000000013)), (11.5, 6.5)]], [[(np.float64(4.5000000000000036), np.float64(5.5)), (5.5, 5.5)]], [[(np.float64(1.5), np.float64(3.5000000000000013)), (2.5, 5.5)]], [[(np.float64(7.5), np.float64(9.500000000000007)), (8.5, 8.5)]], [[(np.float64(2.5), np.float64(3.5)), (9.5, 2.5)]], [[(np.float64(10.900000000000002), np.float64(11.499999999999996)), (10.5, 11.5)]], [[(np.float64(1.5), np.float64(9.5)), (2.5, 6.5)]], [[(np.float64(9.500000000000007), np.float64(0.5)), (9.5, 0.5)]], [[(np.float64(1.5), np.float64(0.5)), (4.5, 1.5)]], [[(np.float64(6.5), np.float64(7.5000000000000036)), (10.5, 7.5)]], [[(np.float64(6.5), np.float64(2.5)), (8.5, 2.5)]]]",12,11
K-Means/Improved-GA-greedy-dynamic,65.30000000000057,183.91896549256262,"{(3.5, 7.5), (9.5, 7.5), (7.5, 0.5), (10.5, 4.5), (11.5, 1.5), (4.5, 2.5), (0.5, 2.5), (6.5, 0.5), (3.5, 5.5), (5.5, 8.5), (9.5, 11.5), (0.5, 10.5)}","[(4.5, 2.5), (3.5, 5.5), (0.5, 2.5), (5.5, 8.5), (10.5, 4.5000000000000036), (9.499999999999993, 7.5), (0.5, 10.49999999999999), (7.5000000000000036, 0.5), (np.float64(9.500000000000007), np.float64(11.5)), (11.5, 1.5), (6.499999999999991, 0.5), (3.5, 7.5000000000000036)]","[[[(4.5, 2.5)]], [[(3.5, 5.5)]], [[(0.5, 2.5)]], [[(5.5, 8.5)]], [[(10.5, 4.5000000000000036), (10.5, 4.5)]], [[(9.499999999999993, 7.5), (9.5, 7.5)]], [[(0.5, 10.49999999999999), (0.5, 10.5)]], [[(7.5000000000000036, 0.5), (7.5, 0.5)]], [[(np.float64(9.900000000000006), np.float64(11.5)), (9.5, 11.5)]], [[(11.5, 1.5)]], [[(6.499999999999991, 0.5), (6.5, 0.5)]], [[(3.5, 7.5000000000000036), (3.5, 7.5)]]]",12,12
K-Means/Improved-GA-phased-hungarian,23.000000000000057,220.72123939033094,"{(1.5, 11.5), (8.5, 10.5), (7.5, 7.5), (8.5, 0.5), (8.5, 6.5), (9.5, 0.5), (6.5, 10.5), (7.5, 2.5), (0.5, 11.5), (0.5, 4.5), (5.5, 11.5), (2.5, 1.5)}","[(8.5, 6.5), (7.5, 2.5), (0.5, 11.5), (5.5, 11.5), (0.5, 4.5), (6.5, 10.5), (1.5, 11.5), (np.float64(9.500000000000007), np.float64(0.5)), (2.5, 1.5), (7.5, 7.5), (8.5, 0.5), (np.float64(8.499999999999996), np.float64(10.5))]","[[[(np.float64(9.207106781186553), np.float64(6.207106781186551)), (8.5, 6.5)]], [[(np.float64(4.5000000000000036), np.float64(5.5)), (7.5, 2.5)]], [[(np.float64(2.5), np.float64(7.5)), (0.5, 11.5)]], [[(np.float64(5.4), np.float64(11.5)), (5.5, 11.5)]], [[(np.float64(2.5), np.float64(3.5)), (0.5, 4.5)]], [[(np.float64(11.5), np.float64(9.799999999999992)), (6.5, 10.5)]], [[(np.float64(1.8000000000000003), np.float64(9.500000000000004)), (1.5, 11.5)]], [[(np.float64(9.500000000000007), np.float64(0.5)), (9.5, 0.5)]], [[(np.float64(1.5), np.float64(0.5)), (2.5, 1.5)]], [[(np.float64(8.93431457505076), np.float64(6.934314575050763)), (7.5, 7.5)]], [[(np.float64(6.5), np.float64(2.5)), (8.5, 0.5)]], [[(np.float64(8.499999999999996), np.float64(10.5)), (8.5, 10.5)]]]",12,12
