UAV數量,OBLAP平均,OBLAP標準差,TSP平均,TSP標準差,平均改善率,OBLAP勝率,測試數
8,31.00,3.14,34.72,3.34,+9.88%,80.0%,15
9,29.87,2.56,32.81,3.42,+7.76%,66.7%,15
10,29.67,2.74,31.60,2.53,+5.37%,66.7%,15
11,29.27,2.43,29.77,3.15,+0.83%,46.7%,15
12,28.40,2.75,29.15,1.87,+2.14%,60.0%,15
13,28.60,2.64,27.97,2.86,-3.30%,46.7%,15
14,28.33,3.02,27.39,2.82,-4.03%,53.3%,15
15,28.40,2.61,27.05,2.03,-5.48%,33.3%,15
16,28.53,2.75,26.49,2.70,-8.72%,40.0%,15
