time,type,uav_id,details
15.1,target_discovery,5,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
15.5,target_discovery,2,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
15.7,target_discovery,0,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
22.9,target_discovery,2,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
23.0,outer_complete,1,"{""cells_covered"": 12}"
23.0,outer_complete,2,"{""cells_covered"": 12}"
23.1,outer_complete,3,"{""cells_covered"": 12}"
23.4,outer_complete,4,"{""cells_covered"": 12}"
38.7,target_discovery,5,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
42.0,outer_complete,0,"{""cells_covered"": 32}"
62.4,outer_complete,5,"{""cells_covered"": 48}"
