time,type,uav_id,details
1.1,target_discovery,2,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
13.4,target_discovery,5,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
14.7,outer_complete,2,"{""cells_covered"": 15}"
14.7,inner_selection,,"{""selected_uavs"": [2]}"
15.4,target_discovery,7,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
17.9,target_discovery,2,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
18.9,target_discovery,5,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
19.2,target_discovery,3,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
20.3,outer_complete,3,"{""cells_covered"": 15}"
20.3,inner_selection,,"{""selected_uavs"": [2, 3]}"
20.9,outer_complete,1,"{""cells_covered"": 10}"
20.9,inner_selection,,"{""selected_uavs"": [2, 3, 1]}"
22.0,outer_complete,0,"{""cells_covered"": 11}"
22.0,inner_selection,,"{""selected_uavs"": [2, 3, 1, 0]}"
22.1,outer_complete,4,"{""cells_covered"": 15}"
22.1,target_assignment,4,"{""target_id"": 3, ""distance"": 2.0}"
23.6,mission_complete,4,{}
26.5,outer_complete,5,"{""cells_covered"": 16}"
26.5,target_assignment,5,"{""target_id"": 6, ""distance"": 5.0}"
26.9,outer_complete,2,"{""cells_covered"": 24}"
26.9,target_assignment,2,"{""target_id"": 4, ""distance"": 6.0}"
29.8,target_discovery,0,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
30.5,outer_complete,7,"{""cells_covered"": 11}"
30.5,target_assignment,7,"{""target_id"": 1, ""distance"": 5.0}"
30.6,outer_complete,6,"{""cells_covered"": 15}"
30.6,target_assignment,6,"{""target_id"": 1, ""distance"": 4.0}"
30.7,mission_complete,5,{}
31.1,outer_complete,0,"{""cells_covered"": 18}"
31.1,target_assignment,0,"{""target_id"": 4, ""distance"": 3.0}"
31.4,mission_complete,2,{}
33.4,mission_complete,0,{}
33.4,target_discovery,1,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
33.6,outer_complete,1,"{""cells_covered"": 19}"
33.6,target_assignment,1,"{""target_id"": 1, ""distance"": 10.0}"
33.8,mission_complete,6,{}
34.7,mission_complete,7,{}
38.5,outer_complete,3,"{""cells_covered"": 26}"
38.5,target_assignment,3,"{""target_id"": 5, ""distance"": 16.0}"
41.9,mission_complete,1,{}
49.9,mission_complete,3,{}
