time,type,uav_id,details
11.7,target_discovery,3,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
13.3,target_discovery,2,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
16.2,target_discovery,0,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
27.8,outer_complete,0,"{""cells_covered"": 27}"
27.8,inner_selection,,"{""selected_uavs"": [0]}"
31.6,outer_complete,1,"{""cells_covered"": 27}"
31.6,inner_selection,,"{""selected_uavs"": [0, 1]}"
35.5,outer_complete,2,"{""cells_covered"": 30}"
35.5,target_assignment,2,"{""target_id"": 2, ""distance"": 1.0}"
36.6,mission_complete,2,{}
37.1,outer_complete,3,"{""cells_covered"": 24}"
37.1,target_assignment,3,"{""target_id"": 3, ""distance"": 6.0}"
41.4,mission_complete,3,{}
48.0,target_discovery,1,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
51.7,outer_complete,0,"{""cells_covered"": 47}"
51.7,target_assignment,0,"{""target_id"": 1, ""distance"": 7.0}"
53.7,outer_complete,1,"{""cells_covered"": 43}"
53.7,target_assignment,1,"{""target_id"": 1, ""distance"": 5.0}"
57.4,mission_complete,1,{}
58.8,mission_complete,0,{}
