time,type,uav_id,details
8.5,target_discovery,0,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
9.0,target_discovery,3,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
12.6,target_discovery,2,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
14.9,target_discovery,3,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
17.6,target_discovery,5,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
18.0,outer_complete,0,"{""cells_covered"": 18}"
20.1,target_discovery,2,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
20.3,mission_complete,0,{}
21.6,target_discovery,7,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
25.7,outer_complete,2,"{""cells_covered"": 18}"
26.0,target_discovery,6,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
27.4,outer_complete,1,"{""cells_covered"": 18}"
28.0,outer_complete,3,"{""cells_covered"": 18}"
28.9,outer_complete,7,"{""cells_covered"": 21}"
29.7,mission_complete,1,{}
30.2,outer_complete,5,"{""cells_covered"": 17}"
30.3,outer_complete,6,"{""cells_covered"": 16}"
30.4,outer_complete,4,"{""cells_covered"": 18}"
32.3,mission_complete,5,{}
32.4,mission_complete,6,{}
33.2,mission_complete,3,{}
34.0,mission_complete,7,{}
34.9,mission_complete,4,{}
38.0,mission_complete,2,{}
