time,type,uav_id,details
2.1,target_discovery,0,"{""target_id"": 1, ""position"": [0.5, 2.5]}"
8.4,target_discovery,2,"{""target_id"": 2, ""position"": [7.5, 4.5]}"
12.6,target_discovery,2,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
17.6,target_discovery,5,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
18.0,outer_complete,0,"{""cells_covered"": 18}"
18.7,target_discovery,5,"{""target_id"": 6, ""position"": [9.5, 10.5]}"
24.2,target_discovery,5,"{""target_id"": 7, ""position"": [11.5, 11.5]}"
24.8,target_discovery,3,"{""target_id"": 5, ""position"": [1.5, 11.5]}"
25.7,outer_complete,2,"{""cells_covered"": 18}"
27.4,outer_complete,1,"{""cells_covered"": 18}"
28.0,outer_complete,3,"{""cells_covered"": 18}"
28.6,target_discovery,5,"{""target_id"": 4, ""position"": [10.5, 8.5]}"
28.9,outer_complete,7,"{""cells_covered"": 21}"
30.2,outer_complete,5,"{""cells_covered"": 17}"
30.3,outer_complete,6,"{""cells_covered"": 16}"
30.4,outer_complete,4,"{""cells_covered"": 18}"
