N,K,Strategy,Makespan,Total_Distance,Sample
8,7,v4.2-adaptive,2.3000000000000007,125.76625643232879,9
8,8,greedy-dynamic,3.2000000000000015,81.03899420833423,0
8,8,phased-hungarian,4.000000000000002,149.8992634450243,0
8,8,v4.2-adaptive,3.2000000000000015,153.47696151476833,0
8,8,greedy-dynamic,2.0000000000000004,76.42753717633094,1
8,8,phased-hungarian,2.9000000000000012,114.74451973286978,1
8,8,v4.2-adaptive,2.0000000000000004,115.44659561660887,1
8,8,greedy-dynamic,3.700000000000002,72.68782703947278,2
8,8,phased-hungarian,1.5000000000000002,86.24427137560997,2
8,8,v4.2-adaptive,4.300000000000001,164.90580732421392,2
8,8,greedy-dynamic,2.1000000000000005,65.61029013069837,3
8,8,phased-hungarian,2.3000000000000007,113.50466740795716,3
8,8,v4.2-adaptive,1.6000000000000003,106.1261479868934,3
8,8,greedy-dynamic,3.2000000000000015,73.14536856848162,4
8,8,phased-hungarian,2.700000000000001,115.34965542258784,4
8,8,v4.2-adaptive,1.6000000000000003,96.91678497052793,4
8,8,greedy-dynamic,3.800000000000002,81.5074630643768,5
8,8,phased-hungarian,1.6000000000000003,97.01482281670826,5
8,8,v4.2-adaptive,2.2000000000000006,127.27436001731681,5
8,8,greedy-dynamic,3.2000000000000015,73.511330240319,6
8,8,phased-hungarian,3.2000000000000015,133.140486137193,6
8,8,v4.2-adaptive,2.2000000000000006,120.04401746271647,6
8,8,greedy-dynamic,1.4000000000000001,47.35621492204174,7
8,8,phased-hungarian,1.5000000000000002,88.70463274082097,7
8,8,v4.2-adaptive,1.5000000000000002,96.14875504232904,7
8,8,greedy-dynamic,3.700000000000002,86.75886605954385,8
8,8,phased-hungarian,3.0000000000000013,124.6483263562043,8
8,8,v4.2-adaptive,2.400000000000001,119.24100873914901,8
8,8,greedy-dynamic,3.1000000000000014,66.3675581653792,9
8,8,phased-hungarian,2.3000000000000007,112.56720350130097,9
8,8,v4.2-adaptive,1.8000000000000005,109.49398580715715,9
8,9,greedy-dynamic,2.400000000000001,81.15620084191474,0
8,9,phased-hungarian,3.2000000000000015,155.26061803861762,0
8,9,v4.2-adaptive,2.3000000000000007,143.5397158746678,0
8,9,greedy-dynamic,4.200000000000001,89.69694659860752,1
8,9,phased-hungarian,1.5000000000000002,102.6695294725536,1
8,9,v4.2-adaptive,3.1000000000000014,155.97789125732066,1
8,9,greedy-dynamic,3.5000000000000018,83.7388920286067,2
8,9,phased-hungarian,2.0000000000000004,118.70801340453077,2
8,9,v4.2-adaptive,1.3,94.99534781727264,2
8,9,greedy-dynamic,2.3000000000000007,92.49062148606882,3
8,9,phased-hungarian,2.400000000000001,137.03352395678462,3
8,9,v4.2-adaptive,1.6000000000000003,110.94841241121955,3
8,9,greedy-dynamic,3.700000000000002,82.05699391733641,4
8,9,phased-hungarian,1.6000000000000003,104.60231186484168,4
8,9,v4.2-adaptive,3.3000000000000016,167.6087300168216,4
8,9,greedy-dynamic,2.600000000000001,84.40899264540529,5
8,9,phased-hungarian,2.800000000000001,150.0424959234229,5
8,9,v4.2-adaptive,2.800000000000001,154.70120307440067,5
8,9,greedy-dynamic,1.8000000000000005,82.98327423824588,6
8,9,phased-hungarian,2.800000000000001,139.01253641734257,6
8,9,v4.2-adaptive,3.5000000000000018,164.83517702168348,6
8,9,greedy-dynamic,2.9000000000000012,83.13856225085762,7
8,9,phased-hungarian,3.0000000000000013,138.96912448841616,7
8,9,v4.2-adaptive,1.9000000000000006,117.90426505849406,7
8,9,greedy-dynamic,2.9000000000000012,106.10967656908542,8
8,9,phased-hungarian,4.5,161.7977799517953,8
8,9,v4.2-adaptive,1.9000000000000006,129.0154795115509,8
8,9,greedy-dynamic,3.3000000000000016,84.32999798145336,9
8,9,phased-hungarian,1.6000000000000003,104.90287494458745,9
8,9,v4.2-adaptive,3.1000000000000014,144.40095866350353,9
8,10,greedy-dynamic,2.1000000000000005,86.34600907271535,0
8,10,phased-hungarian,1.3,96.85764117722313,0
8,10,v4.2-adaptive,2.3000000000000007,146.29718008496292,0
8,10,greedy-dynamic,2.3000000000000007,95.88555089300715,1
8,10,phased-hungarian,4.000000000000002,173.84938858945623,1
8,10,v4.2-adaptive,1.9000000000000006,132.06218791645344,1
8,10,greedy-dynamic,2.3000000000000007,85.43668104702712,2
8,10,phased-hungarian,1.6000000000000003,118.24669159980587,2
8,10,v4.2-adaptive,3.2000000000000015,153.8629009676262,2
8,10,greedy-dynamic,1.5000000000000002,82.79642697536684,3
8,10,phased-hungarian,4.4,181.63129133993868,3
8,10,v4.2-adaptive,1.6000000000000003,124.31629688232184,3
8,10,greedy-dynamic,2.2000000000000006,70.51866963677229,4
8,10,phased-hungarian,3.0000000000000013,160.87602842447677,4
8,10,v4.2-adaptive,1.7000000000000004,101.35454994151884,4
8,10,greedy-dynamic,1.4000000000000001,83.03668091654369,5
8,10,phased-hungarian,1.9000000000000006,126.01334759118231,5
8,10,v4.2-adaptive,2.3000000000000007,153.31538028474552,5
8,10,greedy-dynamic,3.1000000000000014,94.17704003689968,6
8,10,phased-hungarian,2.2000000000000006,150.9949463626765,6
8,10,v4.2-adaptive,2.800000000000001,146.33127630778034,6
8,10,greedy-dynamic,2.0000000000000004,88.58808389019919,7
8,10,phased-hungarian,4.200000000000001,187.15981863277273,7
8,10,v4.2-adaptive,1.6000000000000003,125.82583466706703,7
8,10,greedy-dynamic,3.1000000000000014,87.68720250889905,8
8,10,phased-hungarian,3.5000000000000018,169.4480893308959,8
8,10,v4.2-adaptive,1.7000000000000004,127.58402505883512,8
8,10,greedy-dynamic,1.6000000000000003,77.04851553708097,9
8,10,phased-hungarian,2.800000000000001,154.7180259349933,9
8,10,v4.2-adaptive,3.600000000000002,153.36722175658483,9
8,11,greedy-dynamic,2.1000000000000005,73.23708533028045,0
8,11,phased-hungarian,2.700000000000001,184.44200309430096,0
8,11,v4.2-adaptive,2.700000000000001,155.73256141805686,0
8,11,greedy-dynamic,3.2000000000000015,91.26297876546501,1
8,11,phased-hungarian,1.5000000000000002,118.37225298282642,1
8,11,v4.2-adaptive,1.6000000000000003,121.34696707646536,1
8,11,greedy-dynamic,2.9000000000000012,100.63799883645935,2
8,11,phased-hungarian,2.2000000000000006,154.2207840108845,2
8,11,v4.2-adaptive,2.0000000000000004,146.31803349815917,2
8,11,greedy-dynamic,2.600000000000001,98.35110653100325,3
8,11,phased-hungarian,2.1000000000000005,158.78960506132364,3
8,11,v4.2-adaptive,2.600000000000001,164.60590428831054,3
8,11,greedy-dynamic,2.0000000000000004,99.28566671318663,4
8,11,phased-hungarian,3.4000000000000017,175.24619684379826,4
8,11,v4.2-adaptive,3.900000000000002,179.08624830154974,4
8,11,greedy-dynamic,3.700000000000002,94.48012278522934,5
8,11,phased-hungarian,1.4000000000000001,110.88285487330975,5
8,11,v4.2-adaptive,1.4000000000000001,129.57705028405047,5
8,11,greedy-dynamic,2.700000000000001,105.61634807417468,6
8,11,phased-hungarian,4.200000000000001,189.5317921977261,6
8,11,v4.2-adaptive,1.9000000000000006,130.18284543531695,6
8,11,greedy-dynamic,2.2000000000000006,91.8032147957648,7
8,11,phased-hungarian,2.1000000000000005,150.89222625325948,7
8,11,v4.2-adaptive,2.500000000000001,144.52054796422576,7
8,11,greedy-dynamic,2.400000000000001,98.54192629878665,8
8,11,phased-hungarian,3.5000000000000018,173.85634949110502,8
8,11,v4.2-adaptive,2.0000000000000004,147.49289300602393,8
8,11,greedy-dynamic,2.9000000000000012,106.49151591595398,9
8,11,phased-hungarian,2.2000000000000006,161.01742894508902,9
8,11,v4.2-adaptive,3.5000000000000018,184.15114891941198,9
8,12,greedy-dynamic,0.9999999999999999,74.73200615975462,0
8,12,phased-hungarian,1.9000000000000006,156.73299423037219,0
8,12,v4.2-adaptive,1.7000000000000004,146.68514947544952,0
8,12,greedy-dynamic,1.7000000000000004,84.7329375227049,1
8,12,phased-hungarian,1.7000000000000004,133.74207430577636,1
8,12,v4.2-adaptive,2.1000000000000005,166.13833592772892,1
8,12,greedy-dynamic,2.1000000000000005,89.31671027202773,2
8,12,phased-hungarian,2.500000000000001,170.67863816075737,2
8,12,v4.2-adaptive,1.5000000000000002,131.63968893695167,2
8,12,greedy-dynamic,2.400000000000001,86.0117406587505,3
8,12,phased-hungarian,2.2000000000000006,163.61250869144718,3
8,12,v4.2-adaptive,1.7000000000000004,124.84733684029757,3
8,12,greedy-dynamic,3.2000000000000015,90.37816520702108,4
8,12,phased-hungarian,1.5000000000000002,117.63016143534213,4
8,12,v4.2-adaptive,1.5000000000000002,137.6738388069634,4
8,12,greedy-dynamic,1.4000000000000001,92.4734791300915,5
8,12,phased-hungarian,3.2000000000000015,172.81427146998436,5
8,12,v4.2-adaptive,2.1000000000000005,155.81902036775028,5
8,12,greedy-dynamic,2.800000000000001,110.96042132528737,6
8,12,phased-hungarian,2.3000000000000007,160.09547035013748,6
8,12,v4.2-adaptive,1.9000000000000006,153.21028279964574,6
8,12,greedy-dynamic,2.600000000000001,97.12518392321608,7
8,12,phased-hungarian,1.4000000000000001,124.84613825731111,7
8,12,v4.2-adaptive,1.7000000000000004,155.65522665533234,7
8,12,greedy-dynamic,3.0000000000000013,94.86723905824539,8
8,12,phased-hungarian,1.5000000000000002,123.11394208422075,8
8,12,v4.2-adaptive,3.1000000000000014,200.53271993193422,8
8,12,greedy-dynamic,3.600000000000002,108.0698023444203,9
8,12,phased-hungarian,1.9000000000000006,148.4554647866735,9
8,12,v4.2-adaptive,2.2000000000000006,165.70595118451774,9
8,13,greedy-dynamic,1.5000000000000002,89.81857719935257,0
8,13,phased-hungarian,2.2000000000000006,177.17126848977446,0
8,13,v4.2-adaptive,2.1000000000000005,177.33105344601154,0
8,13,greedy-dynamic,2.0000000000000004,103.75281266070553,1
8,13,phased-hungarian,2.500000000000001,177.43502187248345,1
8,13,v4.2-adaptive,2.600000000000001,173.9475212690999,1
8,13,greedy-dynamic,2.800000000000001,112.83963449514786,2
8,13,phased-hungarian,2.0000000000000004,163.9385997784355,2
8,13,v4.2-adaptive,3.700000000000002,191.5797276901248,2
8,13,greedy-dynamic,2.400000000000001,104.690114062465,3
8,13,phased-hungarian,2.3000000000000007,181.07492909693497,3
8,13,v4.2-adaptive,1.4000000000000001,138.27684192642383,3
8,13,greedy-dynamic,2.0000000000000004,91.40039563826271,4
8,13,phased-hungarian,3.2000000000000015,195.51115783308478,4
8,13,v4.2-adaptive,2.400000000000001,168.8746118632811,4
8,13,greedy-dynamic,2.2000000000000006,103.9154150189899,5
8,13,phased-hungarian,1.9000000000000006,152.06539867660896,5
8,13,v4.2-adaptive,1.3,125.24631538640753,5
8,13,greedy-dynamic,3.1000000000000014,107.79986823524447,6
8,13,phased-hungarian,2.0000000000000004,160.27303309906566,6
8,13,v4.2-adaptive,1.9000000000000006,159.38220512580833,6
8,13,greedy-dynamic,3.1000000000000014,98.6856309201239,7
8,13,phased-hungarian,3.4000000000000017,200.2703424242353,7
8,13,v4.2-adaptive,3.2000000000000015,195.75360361454804,7
8,13,greedy-dynamic,3.800000000000002,91.2328643522386,8
8,13,phased-hungarian,2.0000000000000004,158.63807673642555,8
8,13,v4.2-adaptive,1.4000000000000001,144.65598760986467,8
8,13,greedy-dynamic,2.2000000000000006,93.18319208691877,9
8,13,phased-hungarian,2.1000000000000005,165.8743099761536,9
8,13,v4.2-adaptive,3.2000000000000015,212.2060764322134,9
8,14,greedy-dynamic,1.9000000000000006,100.86364608510587,0
8,14,phased-hungarian,2.2000000000000006,182.22790681758255,0
8,14,v4.2-adaptive,1.4000000000000001,139.79496435179783,0
8,14,greedy-dynamic,1.5000000000000002,112.77933340690268,1
8,14,phased-hungarian,2.3000000000000007,184.24061137796934,1
8,14,v4.2-adaptive,3.600000000000002,211.42597571738395,1
8,14,greedy-dynamic,2.600000000000001,113.45116766780481,2
8,14,phased-hungarian,2.500000000000001,190.7729784242872,2
8,14,v4.2-adaptive,2.700000000000001,205.14426092407825,2
8,14,greedy-dynamic,2.600000000000001,102.80435782874659,3
8,14,phased-hungarian,2.700000000000001,195.75123128371177,3
8,14,v4.2-adaptive,2.600000000000001,203.05602803756727,3
8,14,greedy-dynamic,3.0000000000000013,111.94855185677447,4
8,14,phased-hungarian,2.3000000000000007,182.55717369891093,4
8,14,v4.2-adaptive,2.1000000000000005,171.15533372759324,4
8,14,greedy-dynamic,2.600000000000001,107.22315146528607,5
8,14,phased-hungarian,2.1000000000000005,179.65028442568854,5
8,14,v4.2-adaptive,1.8000000000000005,169.6502000929787,5
8,14,greedy-dynamic,1.7000000000000004,102.82296851369891,6
8,14,phased-hungarian,2.600000000000001,191.57223966524694,6
8,14,v4.2-adaptive,4.000000000000002,225.9570869710607,6
8,14,greedy-dynamic,2.3000000000000007,112.73897605708308,7
8,14,phased-hungarian,1.9000000000000006,164.16134411355532,7
8,14,v4.2-adaptive,1.9000000000000006,180.81825726546586,7
8,14,greedy-dynamic,2.2000000000000006,106.90579039167476,8
8,14,phased-hungarian,2.800000000000001,192.65831879551084,8
8,14,v4.2-adaptive,2.2000000000000006,183.61743170100178,8
8,14,greedy-dynamic,2.500000000000001,103.73293701761574,9
8,14,phased-hungarian,2.500000000000001,192.53511274622718,9
8,14,v4.2-adaptive,3.1000000000000014,214.5527760781276,9
8,15,greedy-dynamic,1.8000000000000005,82.37471518503159,0
8,15,phased-hungarian,2.3000000000000007,195.5980578621267,0
8,15,v4.2-adaptive,1.9000000000000006,189.43499704048776,0
8,15,greedy-dynamic,1.8000000000000005,109.89280686195924,1
8,15,phased-hungarian,1.3,139.9698082406631,1
8,15,v4.2-adaptive,3.2000000000000015,215.98241169366327,1
8,15,greedy-dynamic,3.0000000000000013,132.81930411714012,2
8,15,phased-hungarian,2.3000000000000007,187.53104214170705,2
8,15,v4.2-adaptive,2.1000000000000005,181.2367550760389,2
8,15,greedy-dynamic,2.2000000000000006,117.23987676383875,3
8,15,phased-hungarian,2.9000000000000012,196.43943781646308,3
8,15,v4.2-adaptive,2.800000000000001,204.3243115553016,3
8,15,greedy-dynamic,2.500000000000001,115.65362161687158,4
8,15,phased-hungarian,2.500000000000001,192.4847300951847,4
8,15,v4.2-adaptive,2.500000000000001,203.40503115148613,4
8,15,greedy-dynamic,1.5000000000000002,118.70143023390439,5
8,15,phased-hungarian,2.500000000000001,193.48242886734513,5
8,15,v4.2-adaptive,3.5000000000000018,212.3036377402651,5
8,15,greedy-dynamic,2.0000000000000004,109.92353047134229,6
8,15,phased-hungarian,2.400000000000001,190.84195010727282,6
8,15,v4.2-adaptive,2.500000000000001,208.24857069975513,6
8,15,greedy-dynamic,2.0000000000000004,114.97160082316375,7
8,15,phased-hungarian,2.400000000000001,191.30332737339134,7
8,15,v4.2-adaptive,1.8000000000000005,173.9390562197308,7
8,15,greedy-dynamic,1.7000000000000004,103.87048020928063,8
8,15,phased-hungarian,2.9000000000000012,200.6325079783533,8
8,15,v4.2-adaptive,2.500000000000001,190.25509809001642,8
8,15,greedy-dynamic,3.2000000000000015,112.26904541000332,9
8,15,phased-hungarian,3.1000000000000014,203.94343180235575,9
8,15,v4.2-adaptive,2.3000000000000007,201.23387338724407,9
8,16,greedy-dynamic,1.9000000000000006,104.74787596946679,0
8,16,phased-hungarian,2.1000000000000005,181.8293331187512,0
8,16,v4.2-adaptive,2.1000000000000005,196.42277960876154,0
8,16,greedy-dynamic,2.400000000000001,117.7517696669839,1
8,16,phased-hungarian,2.700000000000001,197.7299829570455,1
8,16,v4.2-adaptive,1.5000000000000002,177.9690864066156,1
8,16,greedy-dynamic,2.3000000000000007,106.21377674290152,2
8,16,phased-hungarian,3.1000000000000014,210.65288856240798,2
8,16,v4.2-adaptive,2.0000000000000004,192.56683653827787,2
8,16,greedy-dynamic,1.8000000000000005,138.05515232760595,3
8,16,phased-hungarian,3.1000000000000014,201.06013611058233,3
8,16,v4.2-adaptive,2.600000000000001,198.7239422803878,3
8,16,greedy-dynamic,1.7000000000000004,126.51764021595412,4
8,16,phased-hungarian,3.2000000000000015,202.28291259832568,4
8,16,v4.2-adaptive,2.3000000000000007,199.3408097407975,4
8,16,greedy-dynamic,2.700000000000001,123.82817676949662,5
8,16,phased-hungarian,1.9000000000000006,171.6928878770852,5
8,16,v4.2-adaptive,2.9000000000000012,193.83850069251355,5
8,16,greedy-dynamic,2.0000000000000004,108.87503830702492,6
8,16,phased-hungarian,3.2000000000000015,211.99510490565723,6
8,16,v4.2-adaptive,1.7000000000000004,182.283383997843,6
8,16,greedy-dynamic,2.9000000000000012,121.11532246710172,7
8,16,phased-hungarian,3.0000000000000013,202.27220410922166,7
8,16,v4.2-adaptive,1.7000000000000004,171.9129179754491,7
8,16,greedy-dynamic,2.700000000000001,109.21375470800145,8
8,16,phased-hungarian,2.1000000000000005,191.11025213681893,8
8,16,v4.2-adaptive,2.3000000000000007,204.25447390798374,8
8,16,greedy-dynamic,2.9000000000000012,126.06729265695066,9
8,16,phased-hungarian,3.2000000000000015,204.32187564135552,9
8,16,v4.2-adaptive,2.2000000000000006,198.26761050363132,9
12,4,greedy-dynamic,14.099999999999966,165.2486851938985,0
12,4,phased-hungarian,4.999999999999998,176.50580868605638,0
12,4,v4.2-adaptive,3.3000000000000016,121.49190079283666,0
12,4,greedy-dynamic,9.499999999999982,178.99920781748565,1
12,4,phased-hungarian,4.4,156.24452968558552,1
12,4,v4.2-adaptive,4.5,166.87048157051947,1
12,4,greedy-dynamic,5.799999999999995,146.57826161758817,2
12,4,phased-hungarian,5.4999999999999964,185.7138245316996,2
12,4,v4.2-adaptive,4.4,163.42468318512474,2
12,4,greedy-dynamic,6.8999999999999915,162.29861921903728,3
12,4,phased-hungarian,4.5,156.43091255639538,3
12,4,v4.2-adaptive,5.1999999999999975,169.57649122254148,3
12,4,greedy-dynamic,4.999999999999998,149.62261408062568,4
12,4,phased-hungarian,5.299999999999997,183.15475284012962,4
12,4,v4.2-adaptive,4.300000000000001,162.60181429023675,4
12,4,greedy-dynamic,10.399999999999979,177.54787227271282,5
12,4,phased-hungarian,5.099999999999998,174.63870878031375,5
12,4,v4.2-adaptive,4.4,156.2450401904666,5
12,4,greedy-dynamic,8.299999999999986,127.5709761565516,6
12,4,phased-hungarian,3.4000000000000017,114.03505785072312,6
12,4,v4.2-adaptive,5.4999999999999964,182.6609364136014,6
12,4,greedy-dynamic,10.499999999999979,152.75905778453364,7
12,4,phased-hungarian,3.700000000000002,130.85691226584981,7
12,4,v4.2-adaptive,3.900000000000002,149.211102550928,7
12,4,greedy-dynamic,4.999999999999998,90.32690062720236,8
12,4,phased-hungarian,4.200000000000001,152.47826233512708,8
12,4,v4.2-adaptive,3.700000000000002,137.4822792287351,8
12,4,greedy-dynamic,7.499999999999989,153.67549135199837,9
12,4,phased-hungarian,4.6,162.52630158988768,9
12,4,v4.2-adaptive,4.699999999999999,170.16190046156802,9
12,5,greedy-dynamic,10.599999999999978,163.57630723291965,0
12,5,phased-hungarian,5.4999999999999964,193.67523755362035,0
12,5,v4.2-adaptive,3.3000000000000016,140.84737225200055,0
12,5,greedy-dynamic,6.699999999999992,172.9534229889725,1
12,5,phased-hungarian,4.5,179.0540160888183,1
12,5,v4.2-adaptive,4.200000000000001,168.5766115229321,1
12,5,greedy-dynamic,4.200000000000001,115.4456919288476,2
12,5,phased-hungarian,4.200000000000001,165.2612217266141,2
12,5,v4.2-adaptive,3.700000000000002,157.31786218178652,2
12,5,greedy-dynamic,8.599999999999985,162.7982671490967,3
12,5,phased-hungarian,6.5999999999999925,216.08283758461675,3
12,5,v4.2-adaptive,3.700000000000002,172.78284554368616,3
12,5,greedy-dynamic,7.699999999999989,122.92589396877361,4
12,5,phased-hungarian,4.000000000000002,165.0665226456928,4
12,5,v4.2-adaptive,6.399999999999993,222.77041766101632,4
12,5,greedy-dynamic,7.599999999999989,157.10384285244695,5
12,5,phased-hungarian,4.6,180.8731254850637,5
12,5,v4.2-adaptive,3.1000000000000014,148.8488578017961,5
12,5,greedy-dynamic,6.499999999999993,108.9549540216961,6
12,5,phased-hungarian,3.900000000000002,162.27144355701404,6
12,5,v4.2-adaptive,4.300000000000001,176.57740750367145,6
