time,type,uav_id,details
8.5,target_discovery,0,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
13.2,target_discovery,4,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
13.7,target_discovery,2,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
19.6,target_discovery,2,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
24.0,target_discovery,1,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
25.0,outer_complete,0,"{""cells_covered"": 24}"
29.9,target_discovery,5,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
30.5,outer_complete,1,"{""cells_covered"": 24}"
33.8,outer_complete,2,"{""cells_covered"": 25}"
34.1,outer_complete,3,"{""cells_covered"": 21}"
37.2,outer_complete,5,"{""cells_covered"": 26}"
38.2,outer_complete,4,"{""cells_covered"": 24}"
