time,type,uav_id,details
8.5,target_discovery,0,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
12.3,target_discovery,1,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
32.3,target_discovery,1,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
35.2,target_discovery,2,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
39.3,outer_complete,0,"{""cells_covered"": 37}"
45.2,mission_complete,0,{}
48.8,outer_complete,3,"{""cells_covered"": 35}"
49.8,outer_complete,1,"{""cells_covered"": 39}"
50.0,outer_complete,2,"{""cells_covered"": 33}"
50.9,mission_complete,1,{}
52.9,mission_complete,2,{}
56.9,mission_complete,3,{}
