time,type,uav_id,details
6.3,target_discovery,1,"{""target_id"": 1, ""position"": [0.5, 6.5]}"
7.3,target_discovery,12,"{""target_id"": 15, ""position"": [4.5, 4.5]}"
9.6,target_discovery,1,"{""target_id"": 8, ""position"": [0.5, 9.5]}"
11.5,target_discovery,13,"{""target_id"": 4, ""position"": [7.5, 5.5]}"
14.1,target_discovery,2,"{""target_id"": 9, ""position"": [1.5, 14.5]}"
15.0,target_discovery,12,"{""target_id"": 10, ""position"": [11.5, 4.5]}"
17.0,target_discovery,13,"{""target_id"": 7, ""position"": [10.5, 7.5]}"
17.0,outer_complete,14,"{""cells_covered"": 11}"
17.6,outer_complete,7,"{""cells_covered"": 3}"
18.2,outer_complete,13,"{""cells_covered"": 13}"
18.3,target_discovery,0,"{""target_id"": 6, ""position"": [15.5, 2.5]}"
18.7,target_discovery,9,"{""target_id"": 0, ""position"": [14.5, 4.5]}"
19.4,outer_complete,6,"{""cells_covered"": 5}"
19.5,outer_complete,12,"{""cells_covered"": 15}"
20.3,target_discovery,1,"{""target_id"": 2, ""position"": [4.5, 15.5]}"
20.7,outer_complete,11,"{""cells_covered"": 17}"
20.9,target_discovery,9,"{""target_id"": 12, ""position"": [14.5, 6.5]}"
21.3,outer_complete,5,"{""cells_covered"": 7}"
21.9,outer_complete,10,"{""cells_covered"": 19}"
23.2,outer_complete,9,"{""cells_covered"": 21}"
23.3,outer_complete,4,"{""cells_covered"": 9}"
25.2,outer_complete,3,"{""cells_covered"": 11}"
26.8,target_discovery,15,"{""target_id"": 14, ""position"": [8.5, 8.5]}"
26.9,outer_complete,15,"{""cells_covered"": 16}"
27.2,outer_complete,2,"{""cells_covered"": 13}"
31.4,outer_complete,1,"{""cells_covered"": 29}"
32.6,outer_complete,0,"{""cells_covered"": 31}"
