time,type,uav_id,details
6.1,target_discovery,1,"{""target_id"": 9, ""position"": [1.5, 6.5]}"
7.4,target_discovery,3,"{""target_id"": 10, ""position"": [4.5, 3.5]}"
8.5,target_discovery,0,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
8.6,outer_complete,0,"{""cells_covered"": 9}"
9.0,target_discovery,6,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
11.1,target_discovery,3,"{""target_id"": 15, ""position"": [5.5, 4.5]}"
12.3,target_discovery,15,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
12.6,target_discovery,4,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
12.8,target_discovery,5,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
13.4,outer_complete,3,"{""cells_covered"": 9}"
13.9,target_discovery,5,"{""target_id"": 8, ""position"": [5.5, 6.5]}"
14.5,outer_complete,1,"{""cells_covered"": 9}"
14.9,target_discovery,6,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
15.0,target_discovery,5,"{""target_id"": 11, ""position"": [6.5, 6.5]}"
15.6,target_discovery,8,"{""target_id"": 12, ""position"": [7.5, 10.5]}"
15.7,target_discovery,4,"{""target_id"": 14, ""position"": [8.5, 4.5]}"
15.8,outer_complete,4,"{""cells_covered"": 9}"
16.8,outer_complete,8,"{""cells_covered"": 6}"
17.3,target_discovery,13,"{""target_id"": 13, ""position"": [11.5, 1.5]}"
17.4,outer_complete,2,"{""cells_covered"": 9}"
18.3,target_discovery,13,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
18.4,outer_complete,5,"{""cells_covered"": 9}"
18.4,outer_complete,13,"{""cells_covered"": 7}"
18.7,outer_complete,6,"{""cells_covered"": 9}"
18.9,target_discovery,10,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
19.0,mission_complete,0,{}
19.0,mission_complete,4,{}
19.0,mission_complete,13,{}
19.6,outer_complete,15,"{""cells_covered"": 15}"
19.7,outer_complete,14,"{""cells_covered"": 10}"
19.9,outer_complete,7,"{""cells_covered"": 10}"
20.0,outer_complete,12,"{""cells_covered"": 7}"
20.1,outer_complete,10,"{""cells_covered"": 9}"
20.3,outer_complete,9,"{""cells_covered"": 9}"
20.4,mission_complete,3,{}
20.4,mission_complete,5,{}
20.4,mission_complete,6,{}
20.7,outer_complete,11,"{""cells_covered"": 8}"
21.0,mission_complete,2,{}
21.2,mission_complete,10,{}
22.0,mission_complete,7,{}
22.1,mission_complete,1,{}
22.1,mission_complete,8,{}
22.6,mission_complete,9,{}
22.8,mission_complete,14,{}
23.0,mission_complete,12,{}
23.9,mission_complete,11,{}
24.7,mission_complete,15,{}
