time,type,uav_id,details
11.2,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
11.9,target_discovery,6,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
15.0,outer_complete,6,"{""cells_covered"": 13}"
15.0,inner_selection,,"{""selected_uavs"": [6]}"
15.3,target_discovery,2,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
15.7,target_discovery,7,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
15.8,outer_complete,7,"{""cells_covered"": 13}"
15.8,inner_selection,,"{""selected_uavs"": [6, 7]}"
18.2,outer_complete,5,"{""cells_covered"": 13}"
18.2,inner_selection,,"{""selected_uavs"": [6, 7, 5]}"
18.5,outer_complete,4,"{""cells_covered"": 13}"
18.5,inner_selection,,"{""selected_uavs"": [6, 7, 5, 4]}"
21.4,target_discovery,7,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
22.6,target_discovery,3,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
23.7,outer_complete,3,"{""cells_covered"": 14}"
23.7,target_assignment,3,"{""target_id"": 1, ""distance"": 1.0}"
24.2,outer_complete,0,"{""cells_covered"": 14}"
24.2,target_assignment,0,"{""target_id"": 6, ""distance"": 6.0}"
24.7,mission_complete,3,{}
27.1,outer_complete,6,"{""cells_covered"": 22}"
27.1,target_assignment,6,"{""target_id"": 3, ""distance"": 5.0}"
27.2,outer_complete,2,"{""cells_covered"": 14}"
27.2,target_assignment,2,"{""target_id"": 2, ""distance"": 7.0}"
27.5,outer_complete,1,"{""cells_covered"": 14}"
27.5,target_assignment,1,"{""target_id"": 2, ""distance"": 3.0}"
27.5,target_discovery,4,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
29.1,target_discovery,5,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
29.8,mission_complete,1,{}
30.3,mission_complete,0,{}
31.3,mission_complete,6,{}
31.5,outer_complete,7,"{""cells_covered"": 24}"
31.5,target_assignment,7,"{""target_id"": 5, ""distance"": 14.0}"
33.2,outer_complete,4,"{""cells_covered"": 20}"
33.2,target_assignment,4,"{""target_id"": 5, ""distance"": 12.0}"
33.3,mission_complete,2,{}
33.7,outer_complete,5,"{""cells_covered"": 22}"
33.7,target_assignment,5,"{""target_id"": 5, ""distance"": 15.0}"
41.4,mission_complete,7,{}
42.7,mission_complete,4,{}
44.4,mission_complete,5,{}
