time,type,uav_id,details
1.1,target_discovery,1,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
11.0,outer_complete,3,"{""cells_covered"": 9}"
11.1,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
11.2,target_discovery,7,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
11.9,outer_complete,4,"{""cells_covered"": 9}"
12.9,outer_complete,5,"{""cells_covered"": 9}"
13.5,target_discovery,6,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
16.7,outer_complete,6,"{""cells_covered"": 12}"
19.7,outer_complete,7,"{""cells_covered"": 12}"
29.1,outer_complete,0,"{""cells_covered"": 13}"
33.9,target_discovery,1,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
35.1,outer_complete,1,"{""cells_covered"": 25}"
